WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2026-03-07,Middle East,Lebanon,Mount Lebanon,Explosions/Remote violence,Air/drone strike,34,9,,Political violence,1740,33.8513,35.6478
2026-03-07,Middle East,Lebanon,South,Explosions/Remote violence,Air/drone strike,142,154,,Political violence,1743,33.3416,35.3035
2026-03-07,Middle East,Oman,Al Batinah North,Explosions/Remote violence,Air/drone strike,2,2,,Political violence,2273,24.2357,56.5739
2026-03-07,Middle East,Oman,Al Wusta,Explosions/Remote violence,Air/drone strike,1,0,,Political violence,2276,20.4761,56.9042
2026-03-07,Middle East,Oman,Dhofar,Explosions/Remote violence,Air/drone strike,1,0,,Political violence,2279,18.8597,54.5566
2026-03-07,Middle East,Oman,Strait of Hormuz,Explosions/Remote violence,Air/drone strike,2,0,,Political violence,4156,26.6719,56.4867
2026-03-07,Middle East,Palestine,Gaza Strip,Explosions/Remote violence,Air/drone strike,23,23,,Political violence,2289,31.407,34.3577
2026-03-07,Middle East,Saudi Arabia,Ar Riyadh,Explosions/Remote violence,Air/drone strike,2,2,,Political violence,2719,23.4556,45.232
2026-03-07,Middle East,Saudi Arabia,Eastern,Explosions/Remote violence,Air/drone strike,2,0,,Political violence,2721,23.1567,50.3153
2026-03-07,Middle East,United Arab Emirates,Abu Dhabi,Explosions/Remote violence,Air/drone strike,6,2,,Political violence,3472,23.7727,53.7133
2026-03-07,Middle East,United Arab Emirates,Al Fujayrah,Explosions/Remote violence,Air/drone strike,1,0,,Political violence,3474,25.4363,56.2301
2026-03-07,Middle East,United Arab Emirates,Dubai,Explosions/Remote violence,Air/drone strike,8,1,,Political violence,3476,24.9904,55.3711
